Aberdeen St,200 N,1100 W,Lake St,CTA,X0081,14 N-S / 13 E-W,2 N-S / 5 EX E-W,07/28/2006 
Aberdeen St,4910 S,1100 W,N. of 50th St,Railroad,R0244,"",NP,08/14/2006 
Aberdeen St,5830 S,1100 W,S. of 58th St,Railroad,R0243,11,10,08/15/2006 
Aberdeen St,7450 S,1100 W,N. of 75th St,Railroad,R0245,13,8,08/31/2006 
Aberdeen St,6320 S,1100 W,S. of 63rd St,CTA,X0082,13,10,08/16/2006 
Aberdeen St,420 N,1100 W,S. of Hubbard St,Railroad,R0246,13,10,09/14/2006 
Adams St,2600 W,200 S,Rockwell St,Railroad,R0251,11,0,12/07/2009 
Adams St,4600 W,200 S,E. of Kenton Av,Railroad,R0250,13,0,08/01/2006 
Adams St,2600 W,200 S,W. of Rockwell St,Railroad,R0249,11,0,08/02/2006 
Adams St,1720 W,200 S,W. of Paulina St,CTA,X0085,"",NP,08/29/2006 
Adams St (EB),200 W,200 S,Wells St (SB),CTA,X0086,"",NP,12/09/2009 
Adams St (WB),45 E,200 S,Wabash Av (SB),CTA,X0087,13,2,12/09/2009 
Ada St,200 N,1326 W,Lake St,CTA,X0083,14 N-S / 13 E-W,2 N-S / 5 EX E-W,07/31/2006 
Ada St,5830 S,1326 W,S. of 58th St,Railroad,R0247,12,10,08/15/2006 
Ada St,420 N,1326 W,S. of Hubbard St,Railroad,R0248,13,6,08/29/2006 
Ada St,6320 S,1326 W,S. of 63rd St,CTA,X0084,"",NP,08/16/2006 
Addison St,4440 W,3600 N,E. of Kilbourn Av,Railroad,R0253,13,10,08/15/2006 
Addison St,3620 W,3600 N,E. of Lawndale Av,Railroad,R0255,13,10,08/11/2006 
Addison St,1800 W,3600 N,Ravenswood Av,Railroad,R0252,13,10,01/26/2010 
Addison St,1820 W,3600 N,W. of Ravenswood Av,CTA,X0088,13,10,01/26/2010 
Addison St,940 W,3600 N,E. of Sheffield Rd,CTA,X0089,"",NP,08/01/2006 
Addison St,4600 W,3600 N,W. of Kenton Av,Railroad,R0254,13,10,08/15/2006 
Ainslie St,5240 W,4900 N,W. of Laramie Av,Railroad,R0257,12,8,08/07/2006 
Ainslie St,4920 W,4900 N,W. of Lamon Av,Railroad,R0256,11,8,08/07/2006 
Ainslie St,1120 W,4900 N,E. of Broadway,CTA,X0090,11,6,07/27/2006 
Albany Av,1010 S,3100 W,S. of Taylor St,Railroad,R0260,11,8,08/02/2006 
Albany Av,1800 N,3100 W,N. of Bloomingdale Av,Railroad,R0261,11,6,08/10/2006 
Albany Av,2030 S,3100 W,S. of Cullerton St,CTA,X0092,"",NP,08/08/2006 
Albany Av,200 N,3100 W,Lake St,CTA,X0091,13 N-S / 13 E-W,8 N-S / 6 E-W,07/31/2006 
Albany Av,2100 S,3100 W,S. of 21st St,Railroad,R0259,11,4,08/08/2006 
Albany Av,3700 S,3100 W,N. of 37th Pl,Railroad,R0258,11,6,09/14/2006 
Albion Av,1301 W,6600 N,Lakewood Av,CTA,X0093,11,10,07/25/2006 
Altgeld St,940 W,2500 N,E. of Sheffield Av,CTA,X0094,"",NP,08/02/2006 
Ancona St,810 W,675 N,W. of Halsted St,Railroad,R0262,"",NP,09/07/2006 
Arcade Pl,50 S,200 W,Wells St,CTA,X0322,"",NP,12/07/2009 
Archer Av,3734 S,2430 W,S.W. of Western Av,CTA,X0097,"",NP,08/22/2006 
Archer Av,2034 S,140 W,W. of Clark St,CTA,X0096,13,8,09/15/2006 
Archer Av,2034 S,130 W,W. of Clark St,Railroad,R0265,13,8,03/06/2006
Archer Av,2434 S,630 W,E. of Halsted St,Expy,E0021,"",NP,03/06/2006 
Archer Av,2600 S,940 W,W. of Halsted St,Expy,E0022,"",NP,03/06/2006 
Archer Av,2434 S,650 W,E. of Halsted St,Expy,E0020,"",NP,03/06/2006 
Archer Av,4701 S,3600 W,47th St,Railroad,R0266,14,0,08/21/2006 
Archer Av,3734 S,2420 W,S.W. of Western Av,Railroad,R0267,13,7 EX,08/22/2006 
Archer Av,3734 S,2430 W,S.W. of Western Av,Railroad,R0263,13,7 EX,08/22/2006 
Archer Av,2234 S,400 W,E. of Stewart Av,Railroad,R0264,14,2,03/06/2006 
Archer Av,2600 S,930 W,W. of Halsted St,EXPY Ramp ,E0023,"",NP,03/06/2006 
"","","","",(NB) ,"","","",""
Archer Av,2431 S,640 W,E. of Halsted St,Expy,E0018,"",NP,09/05/2006 
Archer Av,2432 S,700 W,E. of Halsted St,Expy,E0019,"",NP,03/06/2006 
Ardmore Av,1120 W,5800 N,E. of Broadway Av,CTA,X0098,11,6,07/26/2006 
Argyle St,4940 W,5000 N,W. of Lamon Av,Railroad,R0268,11,6,08/07/2006 
Argyle St,1120 W,5000 N,E. of Broadway Av,CTA,X0099,11,8,10/28/2009 
Armitage Av,1710 W,2000 N,E. of Hermitage Av,Expy,E0024,13,8,08/14/2006 
Armitage Av,2500 W,2000 N,Campbell Av,CTA,X0100,14,2,04/01/2009 
Armitage Av,1620 W,2000 N,W. of Holly Av,Railroad,R0272,13,8,08/14/2006 
Armitage Av,1640 W,2000 N,W. of Ashland Av,Railroad,R0271,13,8,08/14/2006 
Armitage Av,940 W,2000 N,W. of Bissell St,CTA,X0101,"",NP,08/02/2006 
Armitage Av,3850 W,2000 N,E. of Springfield Av,Railroad,R0269,14,0,08/14/2006 
Armitage Av,4600 W,2000 N,E. of Kilpatrick Av,Railroad,R0270,13,10,08/14/2006 
Artesian Av,200 N,2432 W,Lake St,CTA,X0102,NP SB / 13 E-W,NP SB / 6 E-W,07/31/2006 
Artesian Av,1800 N,2432 W,S. of Bloomingdale Av,Railroad,R0273,11,10,08/09/2006 
Ashland Av,3890 S,1600 W,N. of 39th St,Street,S0026,14,2,10/29/2009 
Ashland Av,200 N,1600 W,Lake St,CTA,X0103,14 N-S / 13 E-W,0 N-S / 5 EX E-W,07/31/2006 
Ashland Av,3010 S,1600 W,N. of Archer Av,CTA,X0104,13,6,02/23/2006 
Ashland Av,3410 N,1600 W,N. of Roscoe St,CTA,X0105,"",NP,08/01/2006 
Ashland Av,500 S,1600 W,N. of Congress Pkwy,CTA,X0106,13,10,02/23/2006 
Ashland Av,6320 S,1600 W,S. of 63rd St,CTA,X0107,"",NP,02/23/2006 
Ashland Av,7430 N,1600 W,N. of Fargo Av,CTA,X0108,12,8,07/24/2006 
Ashland Av,1820 N,1600 W,S. of Cortland St,Expy,E0025,12,10,11/29/2010 
Ashland Av,3030 S,1600 W,N. of Archer Av,Expy,E0026,"",NP,08/23/2006 
Ashland Av,3040 S,1600 W,N. of Archer Av,Expy,E0027,"",NP,08/23/2006 
Ashland Av,1520 S,1600 W,S. of 15th St,Railroad,R0285,13,8,02/23/2006 
Ashland Av,1540 S,1600 W,N. of 16th St,Railroad,R0282,13,8,02/23/2006 
Ashland Av,1800 N,1600 W,Bloomingdale Av,Railroad,R0280,12,10,11/29/2010 
Ashland Av,1910 N,1600 W,N. of Cortland St,Railroad,R0279,12,10,11/29/2010 
Ashland Av,1920 N,1600 W,N. of Cortland St,Railroad,R0284,12,10,11/29/2010
Ashland Av,3000 S,1600 W,N. of 31st. St,Railroad,R0283,13,6,02/23/2006 
Ashland Av,400 N,1600 W,S. of Kinzie St,Railroad,R0281,14,0,08/29/2006 
Ashland Av,4050 S,1600 W,S. of Pershing Rd,Railroad,R0276,14,2,02/23/2006 
Ashland Av,4910 S,1600 W,S. of 49th St,Railroad,R0278,"",NP,10/28/2009 
Ashland Av,5830 S,1600 W,N. of 59th St,Railroad,R0275,13,10,02/23/2006 
Ashland Av,7500 S,1600 W,S. of 74th St,Railroad,R0277,13,10,02/23/2006 
Attrill St,2640 W,2200 N,S. of Milwaukee Av,CTA,X0109,"",NP,08/10/2006 
Augusta Blvd,1220 W,1000 N,W. of Racine Av,Railroad,R0288,13,0,09/14/2006 
Augusta Blvd,3340 W,1000 N,W. of Grand Av,Railroad,R0286,12,10,09/13/2006 
Augusta Blvd,4600 W,1000 N,W. of Kenton Av,Railroad,R0289,13,6 EX,09/13/2006 
Augusta Blvd,4610 W,1000 N,W. of Kenton Av,Railroad,R0287,13,6 EX,09/13/2006 
Austin Av,1930 N,6000 W,S. of Dickens Av,Railroad,R0290,12,10,08/14/2006 
Austin Blvd,425 N,6000 W,Lake St,Railroad,R0291,13,8,08/01/2006 
Avalon Av,7550 S,1250 E,76th St,Expy,E0028,"",NP,12/04/2009 
Avalon Av,7600 S,1234 E,S. of 76th St,Railroad,R0292,"",NP,08/25/2006 
Avenue B,10500 S,4032 E,Indianapolis Av,Expy,E0029,"",NP,12/04/2009 
Avenue L,9950 S,3600 E,N. of 100th St,Railroad,R0013,14,2,08/17/2006 
Avenue M,9850 S,3532 E,N. of 99th St,Railroad,R0294,11,6,08/17/2006 
Avenue M,9840 S,3532 E,N. of 99th St,Railroad,R0293,11,6,08/17/2006 
Avenue M,9930 S,3532 E,N. of 100th St,Expy,E0031,"",NP,08/17/2006 
Avenue N,9920 S,3500 E,N. of 100th St,Expy,E0032,"",NP,08/17/2006 
Avers Av,2030 S,3832 W,N. of 21st St,CTA,X0110,"",NP,08/08/2006 
Avers Av,240 N,3832 W,Lake St,CTA,X0111,13 E-W / 13 N,2 W / 6 E / 10 N,08/01/2006 
Balbo Av,25 E,700 S,Holden Ct,CTA,X0112,"",NP,07/27/2006 
Balmoral Av,1120 W,5400 N,E. of Broadway,CTA,X0113,11,6,07/26/2006 
Balmoral Av,1800 W,5400 N,Ravenswood Av,Railroad,R0295,12,8,07/26/2006 
Baltimore Av,9520 S,3100 E,S. of 95th St,Expy,E0033,"",NP,08/17/2006 
Barry Av,1800 W,3100 N,Ravenswood Av,Railroad,R0296,11,6,08/01/2006 
Barry Av,940 W,3100 N,E. of Sheffield Av,CTA,X0114,13,7 EX,08/02/2006 
Belden Av,940 W,2300 N,W. of Bissel St,CTA,X0116,13,6,08/02/2006 
Belden Av,2840 W,2300 N,W. of Milwaukee Av,CTA,X0115,13,10,08/10/2006 
Belle Plaine Av,1800 W,4100 N,Ravenswood Av,CTA,X0117,"",NP,07/31/2006 
Bell Av,200 N,2250 W,Lake St,CTA,X0326,13,8,12/07/2009 
Belmont Av,3220 W,3200 N,W. of Kedzie Av,Expy,E0035,13,10,08/11/2006 
Belmont Av,3140 W,3200 N,E. of Avondale Av,Railroad,R0300,13,10,08/11/2006 
Belmont Av,4320 W,3200 N,W. of Kildare Av,Railroad,R0298,13,6,08/14/2006 
Belmont Av,4600 W,3200 N,E. of Knox Av,Railroad,R0299,"",NP,08/14/2006 
Belmont Av,340 W,3200 N,Lake Shore Dr,Street,S0004,13,7 EX,08/03/2006
Belmont Av,1800 W,3200 N,Ravenswood Av,Railroad,R0297,13,0,08/01/2006 
Belmont Av,940 W,3200 N,E. of Sheffield Av,CTA,X0118,14,0,12/29/2009 
Berenice Av,1820 W,3832 N,W. of Ravenswood Av,CTA,X0120,13,8,07/31/2006 
Berteau Av,1820 W,4200 N,W. of Ravenswood Av,CTA,X0121,11,8,07/31/2006 
Berteau Av,1810 W,4200 N,W. of Ravenswood Av,Railroad,R0301,11,8,07/31/2006 
Berwyn Av,1120 W,5300 N,E. of Broadway Av,CTA,X0122,11,4,07/26/2006 
Birchwood Av,1830 W,7500 N,E. of Wolcott Av,Railroad,R0302,11,8,07/24/2006 
Bishop St,5830 S,1438 W,S. of 58th St,Railroad,R0303,12,2,08/15/2006 
Bishop St,6320 S,1438 W,S. of 63rd St,CTA,X0123,"",NP,08/16/2006 
Bloomingdale Av,2240 W,1800 N,W. of Milwaukee Av,CTA,X0124,"",NP,08/09/2006 
Blue Island Av,1520 S,1300 W,N. of 16th St,Railroad,R0305,12,10,08/29/2006 
Blue Island Av,1550 S,1300 W,N. of 16th St,Railroad,R0304,12,10,08/29/2006 
Bosworth Av,3410 N,1532 W,N. of Roscoe St,CTA,X0125,"",NP,08/01/2006 
Broadway Av,4650 N,1100 W,S. of Leland Av,CTA,X0126,13,0,07/27/2006 
Bryn Mawr Av,1120 W,5600 N,E. of Broadway Av,CTA,X0127,12,6,07/26/2006 
Bryn Mawr Av,832 W,5600 N,Lake Shore Dr,Street,S0005,14,4,07/27/2006 
Bryn Mawr Av,832 W,5600 N,Lake Shore Dr,Street,S0006,14,4,07/27/2006 
Bryn Mawr Av,1800 W,5600 N,Ravenswood Av,Railroad,R0306,11,6,07/26/2006 
Busway under CN/IC at 19th St,1900 S,400 E,South of 18th St,Busway,BUS05,"",NP,12/04/2009 
Busway Entrance,150 N,240 E,Randolph St,Busway,BUS01,13,6,12/04/2009 
Busway Under Art Institute ,200 S,200 E,S. of Monroe St,Busway,BUS08,"",NP,12/04/2009 
Walkway ,"","","","","","","",""
Busway Under Balbo Dr,700 S,200 E,Balbo Dr,Busway,BUS14,"",NP,12/04/2009 
Busway Under Congress Pkwy ,500 S,200 E,Congress Parkway (EB),Busway,BUS12,"",NP,12/04/2009 
(EB) ,"","","","","","","",""
Busway Under Congress Pkwy ,500 S,200 E,Congress Parkway (WB),Busway,BUS11,"",NP,12/04/2009 
(WB) ,"","","","","","","",""
Busway Under Jackson Blvd,300 S,200 E,Jackson Blvd,Busway,BUS09,"",NP,12/04/2009 
Busway Under McCormick Pl at ,2300 S,400 E,North of Cermak Road,Busway,BUS06,"",NP,12/04/2009 
23rd St ,"","","","","","","",""
Busway Under Pedestrian Br,1100 S,200 E,North of Roosevelt Rd,Busway,BUS02,"",NP,12/04/2009 
Busway Under Pedestrian Bridge,600 S,200 E,South of Congress Pkwy,Busway,BUS13,"",NP,12/04/2009 
Busway Under Pedestrian Bridge,400 S,200 E,South of Jackson Blvd,Busway,BUS10,"",NP,12/04/2009 
Busway Under Roosevelt Road,1200 S,200 E,Roosevelt Road,Busway,BUS04,"",NP,12/04/2009 
Busway - South of Balbo Dr,800 S,200 E,South of Balbo Dr,Busway,BUS15,14,0,12/04/2009 
Byron St,1820 W,3900 N,W. of Ravenswood Av,CTA,X0128,14,2,07/31/2006 
Calhoun Pl,200 W,24 N,Wells St,CTA,X0129,13,7 EX,12/09/2009 
California Av,2850 N,2800 W,N. of Diversey Av,Expy,E0037,13,8,08/11/2006
California Av,3340 S,2800 W,N. of 35th St,Expy,E0038,13,6,08/22/2006 
California Av,3350 S,2800 W,N. of 35th St,Expy,E0039,13,6,08/22/2006 
California Av,2830 N,2800 W,N. of Diversey Av,Expy,E0036,13,8,08/11/2006 
California Av,2232 N,2800 W,Lyndale Av,CTA,X0132,14,2,08/10/2006 
California Av,2030 S,2800 W,N. of 21st St,CTA,X0131,"",NP,08/08/2006 
California Av,200 N,2800 W,Lake St,CTA,X0130,"",NP,01/27/2010 
California Av,4900 S,2800 W,S. of 48th St,CTA,X0133,13,0,08/21/2006 
California Av,4900 S,2800 W,S. of 48th St,Railroad,R0307,13,0,08/21/2006 
California Av,3700 S,2800 W,S. of 36th Pl,Railroad,R0308,13,2,08/22/2006 
California Av,3320 S,2800 N,N. of 35th St,Railroad,R0309,13,6,08/22/2006 
California Av,3150 S,2800 W,S. of 31st St,Railroad,R0310,13,8,08/22/2006 
California Av,2900 N,2800 W,George St,Railroad,R0314,13,8,08/11/2006 
California Av,1910 S,2800 W,S. of 19th St,Railroad,R0311,13,10,08/08/2006 
California Av,1800 N,2800 W,S. of Bloomingdale Av,Railroad,R0313,13,0,08/10/2006 
California Av,1010 S,2800 W,S. of Taylor St,Railroad,R0312,"",NP,07/15/2011 
California Av,5136 N,2800 W,S. of Foster Av,Ped Walkway,P0025,"",NP,04/09/2010 
Calumet Av,4000 S,344 E,S. of 40th St,Railroad,R0315,"",NP,08/09/2006 
Calumet Av,6300 S,344 E,63rd. St,CTA,X0134,13 NB / 13 E-W,6 NB / 6 E-W,08/16/2006 
Campbell Av,200 N,2500 W,Lake St,CTA,X0135,NP N-S / 13 E-W,NP N-S / 6 E-W,07/31/2006 
Campbell Av,4650 N,2500 W,N. of Eastwood Av,CTA,X0136,10,10,07/28/2006 
Campbell Av,1800 N,2500 W,S. of Bloomingdale Av,Railroad,R0316,11,8,08/09/2006 
Canalport Av,1999 S,720 W,E. of Emerald Av,Expy,E0042,"",NP,09/14/2006 
Canalport Av,1999 S,710 W,E. of Emerald Av,Expy,E0043,"",NP,09/14/2006 
Canal St,200 N,500 W,Lake St,CTA,X0137,NP N-S / 13 E-W,NP N-S / 5EX E-W,07/28/2006 
Canal St,2226 S,500 W,S. of Cermak Rd,CTA,X0138,14,0,01/27/2010 
Canal St,0 N/S,500 W,N. of Madison Av,Ped Walkway,P0018,"",NP,12/04/2009 
Canal St,500 S,500 W,N. of Harrison St,Expy,E0041,14,0,07/27/2006 
Canal St,2220 S,500 W,S. of Cermak Rd,Railroad,R0317,14,0,09/05/2006 
Canal St,1540 S,500 W,N. of 16th St,Railroad,R0318,13,7 EX,09/06/2006 
Canal St,2530 S,500 W,N. of 26th St,Expy,E0040,"",NP,08/31/2006 
Carmen Av,5010 W,5100 N,W. of Lavergne Av,Railroad,R0320,11,6,08/07/2006 
Carpenter St,5830 S,1032 W,S. of 58th St,Railroad,R0321,11,10,08/15/2006 
Carpenter St,430 N,1032 W,S. of Hubbard St,Railroad,R0322,"",NP,09/14/2006 
Carpenter St,200 N,1032 W,Lake St,CTA,X0139,14 N-S / 13 E-W,4 N-S / 7 EX E-W,01/27/2010 
Carpenter St,6320 S,1032 W,S. of 63rd St,CTA,X0140,14,2,08/16/2006 
Carroll Av,350 N,200 W,Wells St,CTA,X0514,14,0,12/07/2009 
Catalpa Av,1120 W,5500 N,E. of Broadway,CTA,X0141,11,6,07/26/2006 
Caton St,2120 W,1653 N,W. of Milwaukee Av,CTA,X0142,"",NP,09/15/2006
Central Av,820 S,5600 W,N. of Taylor St,CTA,X0145,14,2,08/30/2006 
Central Av,400 N,5600 W,N. of Lake St,Railroad,X0143,14,2,08/01/2006 
Central Av,5120 N,5600 W,S. of Northwest Highway,Railroad,R0323,13,0,08/07/2006 
Central Av,830 S,5600 W,N. of Taylor St,Railroad,R0324,14,2,08/30/2006 
Central Av (NB),720 S,5600 W,S. of Flournoy St,Expy,E0044,14,0,01/27/2010 
Central Av (NB),730 S,5600 W,S. of Flournoy St,Expy,E0045,14,0,08/30/2006 
Central Av (SB),720 S,5600 W,S. of Flournoy St,Expy,E0046,"",NP,01/27/2010 
Central Av (SB),730 S,5600 W,S. of Flournoy St,Expy,E0047,"",NP,01/27/2010 
